ID,Name,Age,Gender,Department, Salary ,Years_of_Experience,Region,Satisfaction_Score,Promotion_Status
1,Noah,57,Male,Sales,"$101,823.82 ",1,North,8,Yes
2,Sophia,24,Male,Marketing,"$117,390.67 ",9,East,7,Yes
3,Emma,49,Male,Marketing,"$105,630.30 ",27,West,9,Yes
4,Noah,36,Male,HR,"$111,822.63 ",7,North,9,Yes
5,Mike,23,Male,Finance,"$93,751.90 ",3,East,1,Yes
6,Olivia,37,Female,Finance,"$111,356.02 ",9,East,1,No
7,Emma,44,Female,IT,"$44,836.56 ",2,West,3,Yes
8,Emma,60,Male,R&D,"$94,112.53 ",10,North,7,No
9,Noah,54,Female,Finance,"$95,868.96 ",17,East,3,No
10,Anna,24,Female,Marketing,"$69,526.29 ",31,South,3,Yes
11,Mike,22,Male,Sales,"$37,176.46 ",1,South,4,No
12,Noah,28,Male,IT,"$86,019.94 ",18,East,8,Yes
13,Mike,32,Male,R&D,"$34,669.27 ",6,West,1,Yes
14,Mike,20,Female,Sales,"$64,416.22 ",38,West,4,Yes
15,Olivia,22,Male,Sales,"$65,430.32 ",4,West,4,No
16,Emma,40,Female,Marketing,"$119,903.03 ",4,East,8,Yes
17,Sophia,54,Female,HR,"$56,982.18 ",35,West,7,No
18,Olivia,26,Female,HR,"$103,840.85 ",4,West,4,No
19,Olivia,32,Female,HR,"$34,785.45 ",1,South,8,Yes
20,Mike,20,Male,Finance,"$77,678.94 ",31,North,3,Yes
21,Liam,46,Female,HR,"$78,302.25 ",19,South,10,Yes
22,Emma,23,Male,R&D,"$86,587.49 ",21,East,7,No
23,Anna,34,Female,Marketing,"$102,900.47 ",30,South,9,No
24,Olivia,43,Male,Finance,"$98,573.10 ",7,North,6,Yes
25,Sophia,38,Male,R&D,"$98,490.73 ",5,South,4,No
26,Liam,25,Male,HR,"$68,906.45 ",2,West,4,Yes
27,Liam,38,Female,R&D,"$95,472.43 ",3,North,1,Yes
28,Anna,28,Female,Sales,"$74,218.41 ",15,East,6,No
29,Olivia,55,Female,Marketing,"$36,025.61 ",39,South,3,No
30,Sophia,25,Male,Marketing,"$110,116.36 ",37,South,3,No
31,Emma,59,Female,R&D,"$110,114.70 ",10,West,1,Yes
32,John,41,Female,IT,"$59,059.09 ",9,North,7,No
33,Sophia,52,Female,Marketing,"$112,251.24 ",23,West,9,No
34,Anna,31,Male,Sales,"$98,218.56 ",14,South,3,Yes
35,Liam,31,Female,Marketing,"$66,072.11 ",33,South,7,No
36,Emma,27,Female,IT,"$59,835.50 ",16,North,9,No
37,Sophia,29,Male,Marketing,"$117,762.84 ",20,South,3,No
38,John,55,Male,Marketing,"$94,136.43 ",8,North,9,No
39,John,61,Male,IT,"$64,092.90 ",38,East,2,No
40,Mike,63,Male,Marketing,"$87,778.55 ",34,South,3,Yes
41,Mike,51,Male,R&D,"$81,437.36 ",31,North,4,Yes
42,Noah,58,Male,Finance,"$77,208.60 ",8,North,7,Yes
43,Anna,27,Female,R&D,"$88,023.17 ",25,West,9,Yes
44,Olivia,34,Female,Marketing,"$78,386.37 ",13,South,1,Yes
45,Sophia,34,Male,HR,"$88,931.13 ",18,West,9,No
46,Sophia,20,Female,HR,"$111,681.17 ",34,North,10,No
47,Olivia,48,Male,Finance,"$119,393.85 ",36,East,5,Yes
48,Noah,18,Female,Marketing,"$93,835.82 ",17,East,4,No
49,Liam,29,Male,Sales,"$113,503.87 ",12,South,6,No
50,Liam,56,Male,Marketing,"$107,256.92 ",16,East,10,No
51,Noah,21,Female,HR,"$56,553.37 ",13,South,5,Yes
52,Liam,59,Female,IT,"$113,961.72 ",11,South,5,Yes
53,Mike,30,Female,Finance,"$36,372.81 ",14,North,5,No
54,Sophia,51,Female,IT,"$59,692.96 ",28,North,8,Yes
55,Noah,59,Female,Sales,"$87,595.04 ",24,North,10,Yes
56,Sophia,38,Female,Marketing,"$77,422.39 ",17,West,8,No
57,Olivia,39,Female,Sales,"$78,817.12 ",9,North,10,Yes
58,John,21,Female,IT,"$101,539.95 ",30,South,4,No
59,Mike,35,Male,Marketing,"$47,523.33 ",37,North,9,Yes
60,Emma,22,Female,R&D,"$118,386.80 ",3,West,8,No
61,Mike,36,Female,R&D,"$69,371.24 ",8,North,6,No
62,Noah,19,Male,Sales,"$115,485.89 ",18,East,2,Yes
63,Emma,29,Male,R&D,"$64,480.43 ",30,South,9,No
64,John,34,Male,R&D,"$84,160.80 ",3,East,6,No
65,Noah,27,Male,HR,"$70,528.03 ",34,East,8,Yes
66,Anna,51,Female,R&D,"$90,834.16 ",28,West,6,No
67,Sophia,23,Female,HR,"$46,526.23 ",37,East,5,Yes
68,John,25,Male,Finance,"$66,056.57 ",25,North,7,Yes
69,Sophia,28,Male,HR,"$36,154.30 ",30,South,4,Yes
70,Liam,29,Female,HR,"$83,829.13 ",7,East,10,Yes
71,Anna,26,Female,IT,"$116,641.35 ",29,East,3,Yes
72,Anna,19,Female,HR,"$34,131.59 ",2,South,7,No
73,John,25,Female,HR,"$89,366.70 ",26,North,2,No
74,Anna,28,Male,IT,"$99,758.82 ",7,East,10,Yes
75,Emma,53,Female,HR,"$49,179.76 ",18,South,3,No
76,Anna,27,Male,R&D,"$54,576.69 ",6,North,1,Yes
77,Sophia,38,Male,HR,"$48,142.30 ",27,North,1,No
78,Sophia,37,Male,Finance,"$56,767.14 ",24,North,2,Yes
79,Noah,25,Female,HR,"$39,907.43 ",33,West,1,No
80,Sophia,53,Male,HR,"$63,331.31 ",31,North,2,No
81,Noah,46,Female,Finance,"$63,203.63 ",34,North,1,No
82,Sophia,59,Male,IT,"$102,654.07 ",22,South,3,No
83,Emma,29,Female,R&D,"$102,086.25 ",24,West,9,No
84,Olivia,31,Male,HR,"$101,705.10 ",36,North,9,Yes
85,Noah,38,Male,R&D,"$81,033.23 ",28,East,8,No
86,Mike,39,Female,Sales,"$59,329.26 ",20,West,9,No
